id,nlayers,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
deep-nonlinear-a886d6a09e1b46a198e3a83532a9944c,3,400,400,1.0,0.03981071705534973,0.6309573444801929,False,0,2.251410961151123
deep-nonlinear-831af17fcc60487ea15131b710226038,5,800,800,0.5,0.01,0.6309573444801929,False,4,2.299760341644287
deep-nonlinear-01f8b685da7047c5b7f16693661913b4,1,800,800,1.0,0.03981071705534973,0.15848931924611134,False,0,2.0446133613586426
deep-nonlinear-688a878a84894844bbdc5906a2417d92,5,200,200,0.25,0.6309573444801929,0.01,False,1,2.287411689758301
deep-nonlinear-3286721d73614f809f03d58b5e2b569e,1,200,200,0.75,0.6309573444801929,2.51188643150958,False,4,2.0759947299957275
deep-nonlinear-3e2b68626a304f0fa7a2b821a9bff8ad,5,800,800,0.75,0.6309573444801929,0.15848931924611134,False,3,1.9757509231567385
deep-nonlinear-6cb2b389038d454a805761b542bd44d5,5,800,800,1.0,2.51188643150958,2.51188643150958,False,2,1.6711889505386353
deep-nonlinear-78980c67635d47bb9e62e1a9791bfba4,5,200,200,0.25,0.03981071705534973,10.0,False,0,2.2998549938201904
deep-nonlinear-b355ca8187ce4884b5ffb99be13ef4e1,5,400,400,0.0,0.6309573444801929,0.15848931924611134,False,0,2.2899956703186035
deep-nonlinear-99dced406cbe49268956bfda19a5383e,1,800,800,0.25,0.15848931924611134,0.6309573444801929,False,4,1.7143287658691406
deep-nonlinear-cba22e10ac4c4b20a96647a0384c47c5,1,200,200,0.0,10.0,0.03981071705534973,False,1,2.106757640838623
deep-nonlinear-99f02b2f30574c159c31f287e2a9039f,3,800,800,0.5,2.51188643150958,10.0,False,1,2.0648069381713867
deep-nonlinear-0ec6280423e04cd29a2abe0f6c5ec63f,5,200,200,0.0,0.15848931924611134,0.03981071705534973,False,2,2.2949554920196533
deep-nonlinear-e01dc3ff84894c1a82a0976a9bdfd4a8,1,200,200,0.5,0.6309573444801929,0.03981071705534973,False,1,2.1844739913940434
deep-nonlinear-454f26c961304828b29a435475fe9438,5,800,800,0.25,0.01,0.03981071705534973,False,4,2.2997610569000244
deep-nonlinear-83fbc77c10cf41a1b012123835bb767d,5,800,800,1.0,0.6309573444801929,2.51188643150958,False,0,2.002286672592163
deep-nonlinear-2df74767eddd480aa6331d9c1e8c51b5,5,200,200,0.25,0.6309573444801929,0.03981071705534973,False,2,2.2879648208618164
deep-nonlinear-7c09eba2c7b947988c9f06fe6415c097,3,200,200,0.5,0.01,0.01,False,4,2.3172717094421387
deep-nonlinear-1f90c341bb9743f4a0af933b4d305ffe,5,200,200,0.75,2.51188643150958,0.01,False,1,2.280479431152344
deep-nonlinear-8e49eac45787441e871747a753e197f3,1,200,200,0.5,10.0,2.51188643150958,False,2,2.1093900203704834
deep-nonlinear-0f1a20081fab4fd4b35d45389a5fab6a,3,400,400,0.75,10.0,0.6309573444801929,False,0,2.2106680870056152
deep-nonlinear-1deb36af8e0b493d8080df395171d071,1,800,800,0.25,0.01,2.51188643150958,False,2,2.3709430694580083
deep-nonlinear-cc70f3872e9f4e0497cd5ba4a07b540c,3,800,800,0.0,0.6309573444801929,10.0,False,0,2.090416431427002
